"Year","Sex","Rank","Name","Count","Data_Revision_Date"
1960,Female,1,SUSAN,3299,11/07/2022
1960,Female,2,MARY,3248,11/07/2022
1960,Female,3,KAREN,3156,11/07/2022
1960,Female,4,CYNTHIA,2982,11/07/2022
1960,Female,5,LISA,2839,11/07/2022
1960,Female,6,LINDA,2807,11/07/2022
1960,Female,7,DEBRA,2692,11/07/2022
1960,Female,8,PATRICIA*,2668,11/07/2022
1960,Female,9,DEBORAH,2490,11/07/2022
1960,Female,10,SANDRA,2404,11/07/2022
1960,Female,11,LAURA,2032,11/07/2022
1960,Female,12,ELIZABET*,1905,11/07/2022
1960,Female,13,PAMELA,1839,11/07/2022
1960,Female,14,DONNA,1820,11/07/2022
1960,Female,15,KATHLEEN*,1772,11/07/2022
1960,Female,16,LORI,1746,11/07/2022
1960,Female,17,KIMBERLY*,1710,11/07/2022
1960,Female,18,TERESA,1709,11/07/2022
1960,Female,19,JULIE,1665,11/07/2022
1960,Female,20,CHERYL,1639,11/07/2022
1960,Female,21,BARBARA,1605,11/07/2022
1960,Female,22,NANCY,1569,11/07/2022
1960,Female,23,DENISE,1501,11/07/2022
1960,Female,24,CHRISTIN*,1410,11/07/2022
1960,Female,25,CAROL,1322,11/07/2022
1960,Male,1,MICHAEL,8770,11/07/2022
1960,Male,2,DAVID,8033,11/07/2022
1960,Male,3,ROBERT,6798,11/07/2022
1960,Male,4,JOHN,6308,11/07/2022
1960,Male,5,JAMES,5900,11/07/2022
1960,Male,6,MARK,5389,11/07/2022
1960,Male,7,RICHARD,4436,11/07/2022
1960,Male,8,STEVEN,4310,11/07/2022
1960,Male,9,WILLIAM,3943,11/07/2022
1960,Male,10,DANIEL,3081,11/07/2022
1960,Male,11,THOMAS,2978,11/07/2022
1960,Male,12,JEFFREY,2940,11/07/2022
1960,Male,13,TIMOTHY,2695,11/07/2022
1960,Male,14,KENNETH,2563,11/07/2022
1960,Male,15,RONALD,2477,11/07/2022
1960,Male,16,KEVIN,2325,11/07/2022
1960,Male,17,GREGORY,2266,11/07/2022
1960,Male,18,JOSEPH,2178,11/07/2022
1960,Male,19,CHARLES,2172,11/07/2022
1960,Male,20,DONALD,2162,11/07/2022
1960,Male,21,PAUL,2136,11/07/2022
1960,Male,22,BRIAN,1968,11/07/2022
1960,Male,23,CHRISTOP*,1951,11/07/2022
1960,Male,24,ANTHONY,1906,11/07/2022
1960,Male,25,SCOTT,1893,11/07/2022
1961,Female,1,LISA,3497,11/07/2022
1961,Female,2,SUSAN,3221,11/07/2022
1961,Female,3,KAREN,2985,11/07/2022
1961,Female,4,MARY,2973,11/07/2022
1961,Female,5,CYNTHIA,2832,11/07/2022
1961,Female,6,LINDA,2674,11/07/2022
1961,Female,7,PATRICIA*,2522,11/07/2022
1961,Female,8,DEBORAH,2495,11/07/2022
1961,Female,9,SANDRA,2483,11/07/2022
1961,Female,10,DEBRA,2211,11/07/2022
1961,Female,11,LAURA,2073,11/07/2022
1961,Female,12,ELIZABET*,2043,11/07/2022
1961,Female,13,JULIE,1895,11/07/2022
1961,Female,14,LORI,1881,11/07/2022
1961,Female,15,KIMBERLY*,1850,11/07/2022
1961,Female,16,KATHLEEN*,1842,11/07/2022
1961,Female,17,PAMELA,1778,11/07/2022
1961,Female,18,TERESA,1690,11/07/2022
1961,Female,19,DONNA,1639,11/07/2022
1961,Female,20,CHRISTIN*,1628,11/07/2022
1961,Female,21,CHERYL,1582,11/07/2022
1961,Female,22,DENISE,1532,11/07/2022
1961,Female,23,NANCY,1517,11/07/2022
1961,Female,24,BARBARA,1494,11/07/2022
1961,Female,25,ROBIN,1378,11/07/2022
1961,Male,1,MICHAEL,9444,11/07/2022
1961,Male,2,DAVID,8353,11/07/2022
1961,Male,3,ROBERT,7054,11/07/2022
1961,Male,4,JOHN,6751,11/07/2022
1961,Male,5,JAMES,6055,11/07/2022
1961,Male,6,MARK,5339,11/07/2022
1961,Male,7,STEVEN,4211,11/07/2022
1961,Male,8,RICHARD,4186,11/07/2022
1961,Male,9,WILLIAM,3763,11/07/2022
1961,Male,10,DANIEL,3212,11/07/2022
1961,Male,11,JEFFREY,3118,11/07/2022
1961,Male,12,THOMAS,2991,11/07/2022
1961,Male,13,KENNETH,2534,11/07/2022
1961,Male,14,RONALD,2515,11/07/2022
1961,Male,15,KEVIN,2449,11/07/2022
1961,Male,16,TIMOTHY,2405,11/07/2022
1961,Male,17,GREGORY,2364,11/07/2022
1961,Male,18,CHRISTOP*,2266,11/07/2022
1961,Male,19,JOSEPH,2234,11/07/2022
1961,Male,20,CHARLES,2172,11/07/2022
1961,Male,21,PAUL,2162,11/07/2022
1961,Male,22,DONALD,2146,11/07/2022
1961,Male,23,SCOTT,2117,11/07/2022
1961,Male,24,BRIAN,2026,11/07/2022
1961,Male,25,ANTHONY,1999,11/07/2022
1962,Female,1,LISA,3698,11/07/2022
1962,Female,2,SUSAN,3088,11/07/2022
1962,Female,3,KAREN,2935,11/07/2022
1962,Female,4,MARY,2924,11/07/2022
1962,Female,5,CYNTHIA,2850,11/07/2022
1962,Female,6,DEBORAH,2540,11/07/2022
1962,Female,7,LINDA,2418,11/07/2022
1962,Female,8,PATRICIA*,2302,11/07/2022
1962,Female,9,KIMBERLY*,2223,11/07/2022
1962,Female,10,SANDRA,2157,11/07/2022
1962,Female,11,DEBRA,2109,11/07/2022
1962,Female,12,LAURA,1995,11/07/2022
1962,Female,13,JULIE,1897,11/07/2022
1962,Female,14,ELIZABET*,1810,11/07/2022
1962,Female,15,LORI,1802,11/07/2022
1962,Female,16,PAMELA,1751,11/07/2022
1962,Female,17,CHRISTIN*,1732,11/07/2022
1962,Female,18,KATHLEEN*,1701,11/07/2022
1962,Female,19,TERESA,1680,11/07/2022
1962,Female,20,DONNA,1654,11/07/2022
1962,Female,21,DENISE,1480,11/07/2022
1962,Female,22,KELLY,1461,11/07/2022
1962,Female,23,CHERYL,1438,11/07/2022
1962,Female,24,BARBARA,1398,11/07/2022
1962,Female,25,MICHELLE*,1383,11/07/2022
1962,Male,1,MICHAEL,9336,11/07/2022
1962,Male,2,DAVID,8059,11/07/2022
1962,Male,3,ROBERT,7031,11/07/2022
1962,Male,4,JOHN,6612,11/07/2022
1962,Male,5,JAMES,5863,11/07/2022
1962,Male,6,MARK,4911,11/07/2022
1962,Male,7,RICHARD,4340,11/07/2022
1962,Male,8,STEVEN,3914,11/07/2022
1962,Male,9,WILLIAM,3727,11/07/2022
1962,Male,10,JEFFREY,3389,11/07/2022
1962,Male,11,DANIEL,3049,11/07/2022
1962,Male,12,THOMAS,2902,11/07/2022
1962,Male,13,SCOTT,2753,11/07/2022
1962,Male,14,KENNETH,2587,11/07/2022
1962,Male,15,GREGORY,2548,11/07/2022
1962,Male,16,KEVIN,2429,11/07/2022
1962,Male,17,RONALD,2426,11/07/2022
1962,Male,18,JOSEPH,2387,11/07/2022
1962,Male,19,TIMOTHY,2345,11/07/2022
1962,Male,20,CHRISTOP*,2219,11/07/2022
1962,Male,21,PAUL,2157,11/07/2022
1962,Male,22,CHARLES,2077,11/07/2022
1962,Male,23,BRIAN,2061,11/07/2022
1962,Male,24,ANTHONY,2001,11/07/2022
1962,Male,25,DONALD,1929,11/07/2022
1963,Female,1,LISA,4661,11/07/2022
1963,Female,2,SUSAN,2920,11/07/2022
1963,Female,3,MARY,2788,11/07/2022
1963,Female,4,KAREN,2723,11/07/2022
1963,Female,5,CYNTHIA,2559,11/07/2022
1963,Female,6,DEBORAH,2407,11/07/2022
1963,Female,7,PATRICIA*,2269,11/07/2022
1963,Female,8,KIMBERLY*,2254,11/07/2022
1963,Female,9,LINDA,2144,11/07/2022
1963,Female,10,LAURA,2141,11/07/2022
1963,Female,11,SANDRA,2113,11/07/2022
1963,Female,12,CHRISTIN*,2019,11/07/2022
1963,Female,13,ELIZABET*,1929,11/07/2022
1963,Female,14,JULIE,1847,11/07/2022
1963,Female,15,LORI,1823,11/07/2022
1963,Female,16,DEBRA,1804,11/07/2022
