,Name
0,"
1


Diego Maradona (1960-2020)

Soccer Player

"
1,"
2


Queen Cheryl, 62

TikTok Star

"
2,"
3


RuPaul, 62

TV Show Host

"
3,"
4


Hugh Grant, 62

Movie Actor

"
4,"
5


Niki Mahajan, 62

Fashion Designer

"
5,"
6


Jeremy Clarkson, 62

TV Show Host

"
6,"
7


Bono, 62

Rock Singer

"
7,"
8


Jane Lynch, 62

TV Actress

"
8,"
9


Antonio Banderas, 62

Movie Actor

"
9,"
10


Colin Firth, 62

Movie Actor

"
10,"
11


Bradley Walsh, 62

TV Actor

"
11,"
12


Prince Andrew, Duke of York, 62

Prince

"
12,"
13


Tim Cook, 62

Business Executive

"
13,"
14


Chalino Sánchez (1960-1992)

World Music Singer

"
14,"
15


Kathy Griffin, 62

Comedian

"
15,"
16


Julianne Moore, 62

Movie Actress

"
16,"
17


Ayrton Senna (1960-1994)

Race Car Driver

"
17,"
18


Lisa Vanderpump, 62

Reality Star

"
18,"
19


Stanley Tucci, 62

Movie Actor

"
19,"
20


Sean Penn, 62

Movie Actor

"
20,"
21


Jean-Claude Van Damme, 62

Movie Actor

"
21,"
22


Valerie Bertinelli, 62

TV Actress

"
22,"
23


Angela Raiola (1960-2016)

Reality Star

"
23,"
24


Shirley Ballas, 62

Dancer

"
24,"
25


Tilda Swinton, 62

Movie Actress

"
25,"
26


Mohanlal, 62

Movie Actor

"
26,"
27


John F. Kennedy Jr. (1960-1999)

Entrepreneur

"
27,"
28


Jennifer Grey, 62

Movie Actress

"
28,"
29


Hirohiko Araki, 62

Comic Book Artist

"
29,"
30


Gia Carangi (1960-1986)

Model

"
30,"
31


Gary Lineker, 62

Soccer Player

"
31,"
32


Damon Wayans, 62

Comedian

"
32,"
33


Mehmet Oz, 62

TV Show Host

"
33,"
34


Tony Robbins, 62

Motivational Speaker

"
34,"
35


James Spader, 62

Movie Actor

"
35,"
36


Nigella Lawson, 63

Journalist

"
36,"
37


Jonathan Ross, 62

TV Show Host

"
37,"
38


John Elway, 62

Football Player

"
38,"
39


Linden Ashby, 62

Movie Actor

"
39,"
40


Kenneth Branagh, 62

Director

"
40,"
41


Amy Grant, 62

Rock Singer

"
41,"
42


Robin Roberts, 62

TV Show Host

"
42,"
43


Morpheus ASMR, 62

YouTube Star

"
43,"
44


Jonathan Larson (1960-1996)

Playwright

"
44,"
45


Jason Beghe, 62

TV Actor

"
45,"
46


Scott Baio, 62

TV Actor

"
46,"
47


David Duchovny, 62

TV Actor

"
47,"
48


Kazembe Ajamu Coleman, 62

Family Member

"
48,1960 Shows
49,1960s Shows
50,Died in 1960
51,"
1


Barack Obama, 61

US President

"
52,"
2


Princess Diana (1961-1997)

Princess

"
53,"
3


Ralph Macchio, 61

Movie Actor

"
54,"
4


Eddie Murphy, 61

Movie Actor

"
55,"
5


George Clooney, 61

Movie Actor

"
56,"
6


Billy Ray Cyrus, 61

Country Singer

"
57,"
7


Jennifer Coolidge, 61

Movie Actress

"
58,"
8


George Lopez, 61

Comedian

"
59,"
9


Carole Baskin, 61


Activist

"
60,"
10


Michael J. Fox, 61

Movie Actor

"
61,"
11


Boy George, 61

Pop Singer

"
62,"
12


Dennis Rodman, 61

Basketball Player

"
63,"
13


Wayne Gretzky, 61

Hockey Player

"
64,"
14


Stephen Hillenburg (1961-2018)

Director

"
65,"
15


Phil Swift, 61

YouTube Star

"
66,"
16


Eugenio Derbez, 61

TV Actor

"
67,"
17


Susan Boyle, 61

Pop Singer

"
68,"
18


Woody Harrelson, 61

TV Actor

"
69,"
19


Randy Jackson, 61

Pop Singer

"
70,"
20


Ricky Gervais, 61

Comedian

"
71,"
21


Nadia Comaneci, 61

Gymnast

"
72,"
22


Joko Widodo, 61

Politician

"
73,"
23


Dave Mustaine, 61

Metal Singer

"
74,"
24


Jeff Probst, 61

Game Show Host

"
75,"
25


Meg Ryan, 61

Movie Actress

"
76,"
26


Vince Neil, 61

Metal Singer

"
77,"
27


Larry Lawton, 61

YouTube Star

"
78,"
28


Toby Keith, 61

Country Singer

"
79,"
29


Julia Louis-Dreyfus, 62

TV Actress

"
80,"
30


Jodi Benson, 61

Voice Actress

"
81,"
31


Robert Carlyle, 61

Movie Actor

"
82,"
32


Enya, 61

World Music Singer

"
83,"
33


Isiah Thomas, 61

Basketball Player

"
84,"
34


Tom Ford, 61

Fashion Designer

"
85,"
35


Bruno Amato, 61

Movie Actor

"
86,"
36


Keith Sweat, 61

R&B Singer

"
87,"
37


Amr Diab, 61

World Music Singer

"
88,"
38


Jackie Chung, 61

TV Actress

"
89,"
39


Lea Thompson, 61

Movie Actress

"
90,"
40


Lauren Tom, 61

Voice Actress

"
91,"
41


Carlos Vives, 61

Pop Singer

"
92,"
42


Forest Whitaker, 61

Movie Actor

"
93,"
43


James Gandolfini (1961-2013)

TV Actor

"
94,"
44


Christopher Meloni, 61

TV Actor

"
95,"
45


Dan Marino, 61

Football Player

"
96,"
46


Maggie Wheeler, 61

TV Actress

"
97,"
47


Rick Owens, 61

Fashion Designer

"
98,"
48


Sheikh Mohammed bin Zayed Al Nahyan, 61

Prince

"
99,1961 Movies
100,1960s Shows
101,Died in 1961
102,"
1


Tom Cruise, 60

Movie Actor

"
103,"
2


Jim Carrey, 60

Movie Actor

"
104,"
3


Jon Bon Jovi, 60

Rock Singer

"
105,"
4


Steve Carell, 60

TV Actor

"
106,"
5


Steve Irwin (1962-2006)

Reality Star

"
107,"
6


Tom Kenny, 60

Voice Actor

"
108,"
7


Tommy Lee, 60

Drummer

"
109,"
8


Axl Rose, 60

Rock Singer

"
110,"
9


Kate Spade (1962-2018)

Fashion Designer

"
111,"
10


Demi Moore, 60

Movie Actress

"
112,"
11


Kirk Hammett, 60

Guitarist

"
113,"
12


Ralph Fiennes, 60

Movie Actor

"
114,"
13


Bob Odenkirk, 60

TV Actor

"
115,"
14


Thomas Gibson, 60

TV Actor

"
116,"
15


Garth Brooks, 60

Country Singer

"
117,"
16


Paula Abdul, 60

Pop Singer

"
118,"
17


MC Hammer, 60

Rapper

"
119,"
18


Jeff Dunham, 60

Ventriloquist

"
120,"
19


Michelle Yeoh, 60

Movie Actress

"
121,"
20


Manute Bol (1962-2010)

Basketball Player

"
122,"
21


Jerry Rice, 60

Football Player

"
123,"
22


Phillip Schofield, 60

TV Show Host

"
124,"
23


Jodie Foster, 60

Movie Actress

"
125,"
24


Eric Allan Kramer, 60

TV Actor

"
126,"
25


Bo Jackson, 60

Baseball Player

"
127,"
26


Emilio Estevez, 60

Movie Actor

"
128,"
27


Cliff Burton (1962-1986)

Bassist

"
129,"
28


Kelly Preston (1962-2020)

Movie Actress

"
130,"
29


Andrew McCarthy, 60

Movie Actor

"
131,"
30


Matthew Broderick, 60

Movie Actor

"
132,"
31


Flea, 60

Bassist

"
133,"
32


Jordan Peterson, 60

Psychologist

"
134,"
33


Gabe Newell, 60

Entrepreneur

"
135,"
34


Alton Brown, 60

Chef

"
136,"
35


Wesley Snipes, 60

Movie Actor

"
137,"
36


Anthony Kiedis, 60

Rock Singer

"
138,"
37


Rosie O'Donnell, 60

TV Show Host

"
139,"
38


Sheryl Crow, 60

Pop Singer

"
140,"
39


Baz Luhrmann, 60

Director

"
141,"
40


Izzy Stradlin, 60

Guitarist

"
142,"
41


Trace Adkins, 61

Country Singer

"
143,"
42


Joan Cusack, 60

Movie Actress

"
144,"
43


Peter Steele (1962-2010)

Metal Singer

"
145,"
44


Suzanne Collins, 60

Young Adult Author

"
146,"
45


Ruud Gullit, 60

Soccer Player

"
147,"
46


Thomas Ian Griffith, 60

Movie Actor

"
148,"
47


Funkee Bunch Tom, 60

YouTube Star

"
149,"
48


Robbie Knievel (1962-2023)

Daredevil

"
150,1962 Movies
151,1962 Shows
152,Died in 1962
153,"
1


Michael Jordan, 59

Basketball Player

"
154,"
2


Johnny Depp, 59

Movie Actor

"
155,"
3


Whitney Houston (1963-2012)

R&B Singer

"
156,"
4


Brad Pitt, 59

Movie Actor

"
157,"
5


John Stamos, 59

TV Actor

"
158,"
6


George Michael (1963-2016)

Pop Singer

"
159,"
7


David Baszucki, 59

Entrepreneur

"
