,img_url,Text
0,background: url(https://www.famousbirthdays.com/thumbnails/maradona-diego-medium.jpg) no-repeat center center; background-size:cover;,"
1


Diego Maradona (1960-2020)

Soccer Player

"
1,background: url(https://www.famousbirthdays.com/thumbnails/queen-cheryl-medium.jpg) no-repeat center center; background-size:cover;,"
2


Queen Cheryl, 62

TikTok Star

"
2,background: url(https://www.famousbirthdays.com/thumbnails/paul-ru-medium.jpg) no-repeat center center; background-size:cover;,"
3


RuPaul, 62

TV Show Host

"
3,background: url(https://www.famousbirthdays.com/thumbnails/grant-hugh-medium.jpg) no-repeat center center; background-size:cover;,"
4


Hugh Grant, 62

Movie Actor

"
4,background: url(https://www.famousbirthdays.com/faces/large-default.jpg) no-repeat center center; background-size:cover;,"
5


Niki Mahajan, 62

Fashion Designer

"
5,background: url(https://www.famousbirthdays.com/thumbnails/clarkson-jeremy-medium.jpg) no-repeat center center; background-size:cover;,"
6


Jeremy Clarkson, 62

TV Show Host

"
6,background: url(https://www.famousbirthdays.com/thumbnails/bono-medium.jpg) no-repeat center center; background-size:cover;,"
7


Bono, 62

Rock Singer

"
7,background: url(https://www.famousbirthdays.com/thumbnails/lynch-jane-medium.jpg) no-repeat center center; background-size:cover;,"
8


Jane Lynch, 62

TV Actress

"
8,background: url(https://www.famousbirthdays.com/thumbnails/banderas-antonio-medium.jpg) no-repeat center center; background-size:cover;,"
9


Antonio Banderas, 62

Movie Actor

"
9,background: url(https://www.famousbirthdays.com/thumbnails/firth-colin-medium.jpg) no-repeat center center; background-size:cover;,"
10


Colin Firth, 62

Movie Actor

"
10,background: url(https://www.famousbirthdays.com/thumbnails/walsh-bradley-medium.jpg) no-repeat center center; background-size:cover;,"
11


Bradley Walsh, 62

TV Actor

"
11,"background: url(https://www.famousbirthdays.com/thumbnails/dukeofyork-princeandrew,-medium.jpg) no-repeat center center; background-size:cover;","
12


Prince Andrew, Duke of York, 62

Prince

"
12,background: url(https://www.famousbirthdays.com/thumbnails/cook-tim-medium.jpg) no-repeat center center; background-size:cover;,"
13


Tim Cook, 62

Business Executive

"
13,background: url(https://www.famousbirthdays.com/faces/large-default.jpg) no-repeat center center; background-size:cover;,"
14


Chalino Sánchez (1960-1992)

World Music Singer

"
14,background: url(https://www.famousbirthdays.com/thumbnails/griffin-kathy-medium.jpg) no-repeat center center; background-size:cover;,"
15


Kathy Griffin, 62

Comedian

"
15,background: url(https://www.famousbirthdays.com/thumbnails/moore-julianne-medium.jpg) no-repeat center center; background-size:cover;,"
16


Julianne Moore, 62

Movie Actress

"
16,background: url(https://www.famousbirthdays.com/thumbnails/senna-ayrton-medium.jpg) no-repeat center center; background-size:cover;,"
17


Ayrton Senna (1960-1994)

Race Car Driver

"
17,background: url(https://www.famousbirthdays.com/thumbnails/vanderpump-lisa-medium.jpg) no-repeat center center; background-size:cover;,"
18


Lisa Vanderpump, 62

Reality Star

"
18,background: url(https://www.famousbirthdays.com/thumbnails/tucci-stanley-medium.jpg) no-repeat center center; background-size:cover;,"
19


Stanley Tucci, 62

Movie Actor

"
19,background: url(https://www.famousbirthdays.com/thumbnails/penn-sean-medium.jpg) no-repeat center center; background-size:cover;,"
20


Sean Penn, 62

Movie Actor

"
20,background: url(https://www.famousbirthdays.com/thumbnails/damme-jean-medium.jpg) no-repeat center center; background-size:cover;,"
21


Jean-Claude Van Damme, 62

Movie Actor

"
21,background: url(https://www.famousbirthdays.com/thumbnails/bertinelli-valerie-medium.jpg) no-repeat center center; background-size:cover;,"
22


Valerie Bertinelli, 62

TV Actress

"
22,background: url(https://www.famousbirthdays.com/thumbnails/raiola-angela-medium.jpg) no-repeat center center; background-size:cover;,"
23


Angela Raiola (1960-2016)

Reality Star

"
23,background: url(https://www.famousbirthdays.com/thumbnails/ballas-shirley-medium.jpg) no-repeat center center; background-size:cover;,"
24


Shirley Ballas, 62

Dancer

"
24,background: url(https://www.famousbirthdays.com/thumbnails/swinton-tilda-movieactress-medium.jpg) no-repeat center center; background-size:cover;,"
25


Tilda Swinton, 62

Movie Actress

"
25,background: url(https://www.famousbirthdays.com/thumbnails/nair-mohanlal-medium.jpg) no-repeat center center; background-size:cover;,"
26


Mohanlal, 62

Movie Actor

"
26,background: url(https://www.famousbirthdays.com/thumbnails/kennedyjr-johnf-medium.jpg) no-repeat center center; background-size:cover;,"
27


John F. Kennedy Jr. (1960-1999)

Entrepreneur

"
27,background: url(https://www.famousbirthdays.com/thumbnails/grey-jennifer-medium.jpg) no-repeat center center; background-size:cover;,"
28


Jennifer Grey, 62

Movie Actress

"
28,background: url(https://www.famousbirthdays.com/thumbnails/araki-hirohiko-medium.jpg) no-repeat center center; background-size:cover;,"
29


Hirohiko Araki, 62

Comic Book Artist

"
29,background: url(https://www.famousbirthdays.com/faces/large-default.jpg) no-repeat center center; background-size:cover;,"
30


Gia Carangi (1960-1986)

Model

"
30,background: url(https://www.famousbirthdays.com/thumbnails/lineker-gary-medium.jpg) no-repeat center center; background-size:cover;,"
31


Gary Lineker, 62

Soccer Player

"
31,background: url(https://www.famousbirthdays.com/thumbnails/wayans-damon-medium.jpg) no-repeat center center; background-size:cover;,"
32


Damon Wayans, 62

Comedian

"
32,background: url(https://www.famousbirthdays.com/thumbnails/oz-mehmet-medium.jpg) no-repeat center center; background-size:cover;,"
33


Mehmet Oz, 62

TV Show Host

"
33,background: url(https://www.famousbirthdays.com/thumbnails/robbins-tony-medium.jpg) no-repeat center center; background-size:cover;,"
34


Tony Robbins, 62

Motivational Speaker

"
34,background: url(https://www.famousbirthdays.com/thumbnails/spader-james-medium.jpg) no-repeat center center; background-size:cover;,"
35


James Spader, 62

Movie Actor

"
35,background: url(https://www.famousbirthdays.com/thumbnails/lawson-nigella-medium.jpg) no-repeat center center; background-size:cover;,"
36


Nigella Lawson, 63

Journalist

"
36,background: url(https://www.famousbirthdays.com/thumbnails/ross-jonathan-medium.jpg) no-repeat center center; background-size:cover;,"
37


Jonathan Ross, 62

TV Show Host

"
37,background: url(https://www.famousbirthdays.com/thumbnails/elway-john-medium.jpg) no-repeat center center; background-size:cover;,"
38


John Elway, 62

Football Player

"
38,background: url(https://www.famousbirthdays.com/thumbnails/ashby-linden-medium.jpg) no-repeat center center; background-size:cover;,"
39


Linden Ashby, 62

Movie Actor

"
39,background: url(https://www.famousbirthdays.com/thumbnails/branagh-kenneth-medium.jpg) no-repeat center center; background-size:cover;,"
40


Kenneth Branagh, 62

Director

"
40,background: url(https://www.famousbirthdays.com/thumbnails/grant-amy-medium.jpg) no-repeat center center; background-size:cover;,"
41


Amy Grant, 62

Rock Singer

"
41,background: url(https://www.famousbirthdays.com/thumbnails/roberts-robinrene-medium.jpg) no-repeat center center; background-size:cover;,"
42


Robin Roberts, 62

TV Show Host

"
42,background: url(https://www.famousbirthdays.com/thumbnails/clery-thomas-medium.jpg) no-repeat center center; background-size:cover;,"
43


Morpheus ASMR, 62

YouTube Star

"
43,background: url(https://www.famousbirthdays.com/faces/large-default.jpg) no-repeat center center; background-size:cover;,"
44


Jonathan Larson (1960-1996)

Playwright

"
44,background: url(https://www.famousbirthdays.com/thumbnails/beghe-jason-medium.jpg) no-repeat center center; background-size:cover;,"
45


Jason Beghe, 62

TV Actor

"
45,background: url(https://www.famousbirthdays.com/thumbnails/baio-scott-medium.jpg) no-repeat center center; background-size:cover;,"
46


Scott Baio, 62

TV Actor

"
46,background: url(https://www.famousbirthdays.com/thumbnails/duchovny-david-medium.jpg) no-repeat center center; background-size:cover;,"
47


David Duchovny, 62

TV Actor

"
47,background: url(https://www.famousbirthdays.com/faces/large-default.jpg) no-repeat center center; background-size:cover;,"
48


Kazembe Ajamu Coleman, 62

Family Member

"
48,background: url(https://www.famousbirthdays.com/thumbnails/obama-barack-medium.jpg) no-repeat center center; background-size:cover;,1960 Shows
49,background: url(https://www.famousbirthdays.com/thumbnails/diana-princess-medium.jpg) no-repeat center center; background-size:cover;,1960s Shows
50,background: url(https://www.famousbirthdays.com/thumbnails/macchio-ralph-medium.jpg) no-repeat center center; background-size:cover;,Died in 1960
51,background: url(https://www.famousbirthdays.com/thumbnails/murphy-eddie-medium.jpg) no-repeat center center; background-size:cover;,"
1


Barack Obama, 61

US President

"
52,background: url(https://www.famousbirthdays.com/thumbnails/clooney-george-medium.jpg) no-repeat center center; background-size:cover;,"
2


Princess Diana (1961-1997)

Princess

"
53,background: url(https://www.famousbirthdays.com/thumbnails/cyrus-billy-medium.jpg) no-repeat center center; background-size:cover;,"
3


Ralph Macchio, 61

Movie Actor

"
54,background: url(https://www.famousbirthdays.com/thumbnails/coolidge-jennifer-medium.jpg) no-repeat center center; background-size:cover;,"
4


Eddie Murphy, 61

Movie Actor

"
55,background: url(https://www.famousbirthdays.com/thumbnails/lopez-george-medium.jpg) no-repeat center center; background-size:cover;,"
5


George Clooney, 61

Movie Actor

"
56,background: url(https://www.famousbirthdays.com/thumbnails/baskin-carole-medium.jpg) no-repeat center center; background-size:cover;,"
6


Billy Ray Cyrus, 61

Country Singer

"
57,background: url(https://www.famousbirthdays.com/thumbnails/fox-michael-movieactor-medium.jpg) no-repeat center center; background-size:cover;,"
7


Jennifer Coolidge, 61

Movie Actress

"
58,background: url(https://www.famousbirthdays.com/thumbnails/george-boy-medium.jpg) no-repeat center center; background-size:cover;,"
8


George Lopez, 61

Comedian

"
59,background: url(https://www.famousbirthdays.com/thumbnails/rodman-dennis-medium.jpg) no-repeat center center; background-size:cover;,"
9


Carole Baskin, 61


Activist

"
60,background: url(https://www.famousbirthdays.com/thumbnails/gretzky-wayne-medium.jpg) no-repeat center center; background-size:cover;,"
10


Michael J. Fox, 61

Movie Actor

"
61,background: url(https://www.famousbirthdays.com/thumbnails/hillenburg-stephen-medium.jpg) no-repeat center center; background-size:cover;,"
11


Boy George, 61

Pop Singer

"
62,background: url(https://www.famousbirthdays.com/thumbnails/swift-phil-medium.jpg) no-repeat center center; background-size:cover;,"
12


Dennis Rodman, 61

Basketball Player

"
63,background: url(https://www.famousbirthdays.com/thumbnails/derbez-eugenio-medium.jpg) no-repeat center center; background-size:cover;,"
13


Wayne Gretzky, 61

Hockey Player

"
64,background: url(https://www.famousbirthdays.com/thumbnails/boyle-susan-medium.jpg) no-repeat center center; background-size:cover;,"
14


Stephen Hillenburg (1961-2018)

Director

"
65,background: url(https://www.famousbirthdays.com/thumbnails/harrelson-woody-medium.jpg) no-repeat center center; background-size:cover;,"
15


Phil Swift, 61

YouTube Star

"
66,background: url(https://www.famousbirthdays.com/thumbnails/jackson-singer-randy-medium.jpg) no-repeat center center; background-size:cover;,"
16


Eugenio Derbez, 61

TV Actor

"
67,background: url(https://www.famousbirthdays.com/thumbnails/gervais-ricky-medium.jpg) no-repeat center center; background-size:cover;,"
17


Susan Boyle, 61

Pop Singer

"
68,background: url(https://www.famousbirthdays.com/thumbnails/comaneci-nadia-medium.jpg) no-repeat center center; background-size:cover;,"
18


Woody Harrelson, 61

TV Actor

"
69,background: url(https://www.famousbirthdays.com/thumbnails/widodo-joko-medium.jpg) no-repeat center center; background-size:cover;,"
19


Randy Jackson, 61

Pop Singer

"
70,background: url(https://www.famousbirthdays.com/thumbnails/mustaine-dave-medium.jpg) no-repeat center center; background-size:cover;,"
20


Ricky Gervais, 61

Comedian

"
71,background: url(https://www.famousbirthdays.com/thumbnails/probst-jeff-medium.jpg) no-repeat center center; background-size:cover;,"
21


Nadia Comaneci, 61

Gymnast

"
72,background: url(https://www.famousbirthdays.com/thumbnails/ryan-meg-medium.jpg) no-repeat center center; background-size:cover;,"
22


Joko Widodo, 61

Politician

"
73,background: url(https://www.famousbirthdays.com/thumbnails/neil-vince-medium.jpg) no-repeat center center; background-size:cover;,"
23


Dave Mustaine, 61

Metal Singer

"
74,background: url(https://www.famousbirthdays.com/thumbnails/lawton-larry-medium.jpg) no-repeat center center; background-size:cover;,"
24


Jeff Probst, 61

Game Show Host

"
75,background: url(https://www.famousbirthdays.com/thumbnails/keith-toby-medium.jpg) no-repeat center center; background-size:cover;,"
25


Meg Ryan, 61

Movie Actress

"
76,background: url(https://www.famousbirthdays.com/thumbnails/dreyfus-julia-medium.jpg) no-repeat center center; background-size:cover;,"
26


Vince Neil, 61

Metal Singer

"
77,background: url(https://www.famousbirthdays.com/thumbnails/benson-jodi-medium.jpg) no-repeat center center; background-size:cover;,"
27


Larry Lawton, 61

YouTube Star

"
