Decade,Year,Sex,Rank,Name,Count,Data_Revision_Date
60s,1960,Female,1,susan,3299,11/7/2022
60s,1960,Female,2,mary,3248,11/7/2022
60s,1960,Female,3,karen,3156,11/7/2022
60s,1960,Female,4,cynthia,2982,11/7/2022
60s,1960,Female,5,lisa,2839,11/7/2022
60s,1960,Female,6,linda,2807,11/7/2022
60s,1960,Female,7,debra,2692,11/7/2022
60s,1960,Female,8,patricia,2668,11/7/2022
60s,1960,Female,9,deborah,2490,11/7/2022
60s,1960,Female,10,sandra,2404,11/7/2022
60s,1960,Female,11,laura,2032,11/7/2022
60s,1960,Female,12,elizabeth,1905,11/7/2022
60s,1960,Female,13,pamela,1839,11/7/2022
60s,1960,Female,14,donna,1820,11/7/2022
60s,1960,Female,15,kathleen,1772,11/7/2022
60s,1960,Female,16,lori,1746,11/7/2022
60s,1960,Female,17,kimberly,1710,11/7/2022
60s,1960,Female,18,teresa,1709,11/7/2022
60s,1960,Female,19,julie,1665,11/7/2022
60s,1960,Female,20,cheryl,1639,11/7/2022
60s,1960,Female,21,barbara,1605,11/7/2022
60s,1960,Female,22,nancy,1569,11/7/2022
60s,1960,Female,23,denise,1501,11/7/2022
60s,1960,Female,24,christine,1410,11/7/2022
60s,1960,Female,25,carol,1322,11/7/2022
60s,1960,Male,1,michael,8770,11/7/2022
60s,1960,Male,2,david,8033,11/7/2022
60s,1960,Male,3,robert,6798,11/7/2022
60s,1960,Male,4,john,6308,11/7/2022
60s,1960,Male,5,james,5900,11/7/2022
60s,1960,Male,6,mark,5389,11/7/2022
60s,1960,Male,7,richard,4436,11/7/2022
60s,1960,Male,8,steven,4310,11/7/2022
60s,1960,Male,9,william,3943,11/7/2022
60s,1960,Male,10,daniel,3081,11/7/2022
60s,1960,Male,11,thomas,2978,11/7/2022
60s,1960,Male,12,jeffrey,2940,11/7/2022
60s,1960,Male,13,timothy,2695,11/7/2022
60s,1960,Male,14,kenneth,2563,11/7/2022
60s,1960,Male,15,ronald,2477,11/7/2022
60s,1960,Male,16,kevin,2325,11/7/2022
60s,1960,Male,17,gregory,2266,11/7/2022
60s,1960,Male,18,joseph,2178,11/7/2022
60s,1960,Male,19,charles,2172,11/7/2022
60s,1960,Male,20,donald,2162,11/7/2022
60s,1960,Male,21,paul,2136,11/7/2022
60s,1960,Male,22,brian,1968,11/7/2022
60s,1960,Male,23,christopher,1951,11/7/2022
60s,1960,Male,24,anthony,1906,11/7/2022
60s,1960,Male,25,scott,1893,11/7/2022
60s,1961,Female,1,lisa,3497,11/7/2022
60s,1961,Female,2,susan,3221,11/7/2022
60s,1961,Female,3,karen,2985,11/7/2022
60s,1961,Female,4,mary,2973,11/7/2022
60s,1961,Female,5,cynthia,2832,11/7/2022
60s,1961,Female,6,linda,2674,11/7/2022
60s,1961,Female,7,patricia,2522,11/7/2022
60s,1961,Female,8,deborah,2495,11/7/2022
60s,1961,Female,9,sandra,2483,11/7/2022
60s,1961,Female,10,debra,2211,11/7/2022
60s,1961,Female,11,laura,2073,11/7/2022
60s,1961,Female,12,elizabeth,2043,11/7/2022
60s,1961,Female,13,julie,1895,11/7/2022
60s,1961,Female,14,lori,1881,11/7/2022
60s,1961,Female,15,kimberly,1850,11/7/2022
60s,1961,Female,16,kathleen,1842,11/7/2022
60s,1961,Female,17,pamela,1778,11/7/2022
60s,1961,Female,18,teresa,1690,11/7/2022
60s,1961,Female,19,donna,1639,11/7/2022
60s,1961,Female,20,christine,1628,11/7/2022
60s,1961,Female,21,cheryl,1582,11/7/2022
60s,1961,Female,22,denise,1532,11/7/2022
60s,1961,Female,23,nancy,1517,11/7/2022
60s,1961,Female,24,barbara,1494,11/7/2022
60s,1961,Female,25,robin,1378,11/7/2022
60s,1961,Male,1,michael,9444,11/7/2022
60s,1961,Male,2,david,8353,11/7/2022
60s,1961,Male,3,robert,7054,11/7/2022
60s,1961,Male,4,john,6751,11/7/2022
60s,1961,Male,5,james,6055,11/7/2022
60s,1961,Male,6,mark,5339,11/7/2022
60s,1961,Male,7,steven,4211,11/7/2022
60s,1961,Male,8,richard,4186,11/7/2022
60s,1961,Male,9,william,3763,11/7/2022
60s,1961,Male,10,daniel,3212,11/7/2022
60s,1961,Male,11,jeffrey,3118,11/7/2022
60s,1961,Male,12,thomas,2991,11/7/2022
60s,1961,Male,13,kenneth,2534,11/7/2022
60s,1961,Male,14,ronald,2515,11/7/2022
60s,1961,Male,15,kevin,2449,11/7/2022
60s,1961,Male,16,timothy,2405,11/7/2022
60s,1961,Male,17,gregory,2364,11/7/2022
60s,1961,Male,18,christopher,2266,11/7/2022
60s,1961,Male,19,joseph,2234,11/7/2022
60s,1961,Male,20,charles,2172,11/7/2022
60s,1961,Male,21,paul,2162,11/7/2022
60s,1961,Male,22,donald,2146,11/7/2022
60s,1961,Male,23,scott,2117,11/7/2022
60s,1961,Male,24,brian,2026,11/7/2022
60s,1961,Male,25,anthony,1999,11/7/2022
60s,1962,Female,1,lisa,3698,11/7/2022
60s,1962,Female,2,susan,3088,11/7/2022
60s,1962,Female,3,karen,2935,11/7/2022
60s,1962,Female,4,mary,2924,11/7/2022
60s,1962,Female,5,cynthia,2850,11/7/2022
60s,1962,Female,6,deborah,2540,11/7/2022
60s,1962,Female,7,linda,2418,11/7/2022
60s,1962,Female,8,patricia,2302,11/7/2022
60s,1962,Female,9,kimberly,2223,11/7/2022
60s,1962,Female,10,sandra,2157,11/7/2022
60s,1962,Female,11,debra,2109,11/7/2022
60s,1962,Female,12,laura,1995,11/7/2022
60s,1962,Female,13,julie,1897,11/7/2022
60s,1962,Female,14,elizabeth,1810,11/7/2022
60s,1962,Female,15,lori,1802,11/7/2022
60s,1962,Female,16,pamela,1751,11/7/2022
60s,1962,Female,17,christine,1732,11/7/2022
60s,1962,Female,18,kathleen,1701,11/7/2022
60s,1962,Female,19,teresa,1680,11/7/2022
60s,1962,Female,20,donna,1654,11/7/2022
60s,1962,Female,21,denise,1480,11/7/2022
60s,1962,Female,22,kelly,1461,11/7/2022
60s,1962,Female,23,cheryl,1438,11/7/2022
60s,1962,Female,24,barbara,1398,11/7/2022
60s,1962,Female,25,michelle,1383,11/7/2022
60s,1962,Male,1,michael,9336,11/7/2022
60s,1962,Male,2,david,8059,11/7/2022
60s,1962,Male,3,robert,7031,11/7/2022
60s,1962,Male,4,john,6612,11/7/2022
60s,1962,Male,5,james,5863,11/7/2022
60s,1962,Male,6,mark,4911,11/7/2022
60s,1962,Male,7,richard,4340,11/7/2022
60s,1962,Male,8,steven,3914,11/7/2022
60s,1962,Male,9,william,3727,11/7/2022
60s,1962,Male,10,jeffrey,3389,11/7/2022
60s,1962,Male,11,daniel,3049,11/7/2022
60s,1962,Male,12,thomas,2902,11/7/2022
60s,1962,Male,13,scott,2753,11/7/2022
60s,1962,Male,14,kenneth,2587,11/7/2022
60s,1962,Male,15,gregory,2548,11/7/2022
60s,1962,Male,16,kevin,2429,11/7/2022
60s,1962,Male,17,ronald,2426,11/7/2022
60s,1962,Male,18,joseph,2387,11/7/2022
60s,1962,Male,19,timothy,2345,11/7/2022
60s,1962,Male,20,christopher,2219,11/7/2022
60s,1962,Male,21,paul,2157,11/7/2022
60s,1962,Male,22,charles,2077,11/7/2022
60s,1962,Male,23,brian,2061,11/7/2022
60s,1962,Male,24,anthony,2001,11/7/2022
60s,1962,Male,25,donald,1929,11/7/2022
60s,1963,Female,1,lisa,4661,11/7/2022
60s,1963,Female,2,susan,2920,11/7/2022
60s,1963,Female,3,mary,2788,11/7/2022
60s,1963,Female,4,karen,2723,11/7/2022
60s,1963,Female,5,cynthia,2559,11/7/2022
60s,1963,Female,6,deborah,2407,11/7/2022
60s,1963,Female,7,patricia,2269,11/7/2022
60s,1963,Female,8,kimberly,2254,11/7/2022
60s,1963,Female,9,linda,2144,11/7/2022
60s,1963,Female,10,laura,2141,11/7/2022
60s,1963,Female,11,sandra,2113,11/7/2022
60s,1963,Female,12,christine,2019,11/7/2022
60s,1963,Female,13,elizabeth,1929,11/7/2022
60s,1963,Female,14,julie,1847,11/7/2022
60s,1963,Female,15,lori,1823,11/7/2022
60s,1963,Female,16,debra,1804,11/7/2022
60s,1963,Female,17,teresa,1673,11/7/2022
60s,1963,Female,18,pamela,1656,11/7/2022
60s,1963,Female,19,kathleen,1582,11/7/2022
60s,1963,Female,20,kelly,1559,11/7/2022
60s,1963,Female,21,maria,1513,11/7/2022
60s,1963,Female,22,donna,1510,11/7/2022
60s,1963,Female,23,denise,1487,11/7/2022
60s,1963,Female,24,michelle,1486,11/7/2022
60s,1963,Female,25,jennifer,1404,11/7/2022
60s,1963,Male,1,michael,9136,11/7/2022
60s,1963,Male,2,david,7692,11/7/2022
60s,1963,Male,3,robert,7132,11/7/2022
60s,1963,Male,4,john,6978,11/7/2022
60s,1963,Male,5,james,5793,11/7/2022
60s,1963,Male,6,mark,4651,11/7/2022
