,img_url,,,,,,,,,
0,maradona-diego-medium.jpg,1960,https://www.famousbirthdays.com/thumbnails/maradona-diego-medium.jpg,"
1


Diego",Maradona,"(1960-2020)

Soccer","Player

",,,
1,queen-cheryl-medium.jpg,1960,https://www.famousbirthdays.com/thumbnails/queen-cheryl-medium.jpg,"
2


Queen","Cheryl,","62

TikTok","Star

",,,
2,paul-ru-medium.jpg,1960,https://www.famousbirthdays.com/thumbnails/paul-ru-medium.jpg,"
3


RuPaul,","62

TV",Show,"Host

",,,
3,grant-hugh-medium.jpg,1960,https://www.famousbirthdays.com/thumbnails/grant-hugh-medium.jpg,"
4


Hugh","Grant,","62

Movie","Actor

",,,
4,background: url(https://www.famousbirthdays.com/faces/large-default.jpg,1960,https://www.famousbirthdays.com/thumbnails/background: url(https://www.famousbirthdays.com/faces/large-default.jpg,"
5


Niki","Mahajan,","62

Fashion","Designer

",,,
5,clarkson-jeremy-medium.jpg,1960,https://www.famousbirthdays.com/thumbnails/clarkson-jeremy-medium.jpg,"
6


Jeremy","Clarkson,","62

TV",Show,"Host

",,
6,bono-medium.jpg,1960,https://www.famousbirthdays.com/thumbnails/bono-medium.jpg,"
7


Bono,","62

Rock","Singer

",,,,
7,lynch-jane-medium.jpg,1960,https://www.famousbirthdays.com/thumbnails/lynch-jane-medium.jpg,"
8


Jane","Lynch,","62

TV","Actress

",,,
8,banderas-antonio-medium.jpg,1960,https://www.famousbirthdays.com/thumbnails/banderas-antonio-medium.jpg,"
9


Antonio","Banderas,","62

Movie","Actor

",,,
9,firth-colin-medium.jpg,1960,https://www.famousbirthdays.com/thumbnails/firth-colin-medium.jpg,"
10


Colin","Firth,","62

Movie","Actor

",,,
10,walsh-bradley-medium.jpg,1960,https://www.famousbirthdays.com/thumbnails/walsh-bradley-medium.jpg,"
11


Bradley","Walsh,","62

TV","Actor

",,,
11,"dukeofyork-princeandrew,-medium.jpg",1960,"https://www.famousbirthdays.com/thumbnails/dukeofyork-princeandrew,-medium.jpg","
12


Prince","Andrew,",Duke,of,"York,","62

Prince

",
12,cook-tim-medium.jpg,1960,https://www.famousbirthdays.com/thumbnails/cook-tim-medium.jpg,"
13


Tim","Cook,","62

Business","Executive

",,,
13,background: url(https://www.famousbirthdays.com/faces/large-default.jpg,1960,https://www.famousbirthdays.com/thumbnails/background: url(https://www.famousbirthdays.com/faces/large-default.jpg,"
14


Chalino",Sánchez,"(1960-1992)

World",Music,"Singer

",,
